image_1,image_2,image_3,style_id,sub_class,class,sub_dept,dept,division,sku,vendor,apparel_type,color,leg_fit,neck_type,pant_length,print_type,sleeve_length
https://dks.scene7.com/is/image/dkscdn/19UARMRSHGRPHCSSXAPT_Black_Black,,,1345196,UA COMPRESSION TOPS,UA CORE COMPRESSION,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19747082,UNDER ARMOUR,,Black/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMSHPDGRPHCSSAPT_Black_Black,,,1348437,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19751069,UNDER ARMOUR,,Black/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARMSHPDGRPHCSSAPT_Kinetic_Purple_Purple,,,1348437,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,MENS ATHLETIC APPAREL,APPAREL ATHLETIC,19751069,UNDER ARMOUR,,Kinetic Purple/Purple,,,,,
https://dks.scene7.com/is/image/dkscdn/19NIKWTPDGRPHCTTCAPB_Atmosphere_Grey_Htr,,,BV4552,N TRAINING BOTTOMS,N TRAINING,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19782021,NIKE,,Atmosphere Grey/Htr,,,,,
https://dks.scene7.com/is/image/dkscdn/19NIKWTPDGRPHCTTCAPB_Black_Black,,,BV4552,N TRAINING BOTTOMS,N TRAINING,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19782021,NIKE,,Black/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19NIKWTPDGRPHCTTCAPB_Pink_Quartz,,,BV4552,N TRAINING BOTTOMS,N TRAINING,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19782021,NIKE,,Pink Quartz,,,,,
https://dks.scene7.com/is/image/dkscdn/19NIKWTPDGRPHCTTCAPB_Mystic_Navy_Lt_Photo_Blue,,,BV4552,N TRAINING BOTTOMS,N TRAINING,NIKE,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19782021,NIKE,,Mystic Navy/Lt Photo Blue,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPTA_Apex_Pink_Onyx_White,,,1348550,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784550,UNDER ARMOUR,,Apex Pink/Onyx White,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPTA_Level_Purple_Black,,,1348550,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784550,UNDER ARMOUR,,Level Purple/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPTA_Black_Onyx_White,,,1348550,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784550,UNDER ARMOUR,,Black/Onyx White,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPTA_Breathtaking_Blue_White,,,1348550,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784550,UNDER ARMOUR,,Breathtaking Blue/White,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPTA_Onyx_White_Black,,,1348550,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784550,UNDER ARMOUR,,Onyx White/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWTHRCKBLLGRPAPT_Gray_Flux_Lt_Heather_Whit,,,1346829,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784630,UNDER ARMOUR,,Gray Flux Lt Heather/Whit,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWTHRCKBLLGRPAPT_Mirror_Academy,,,1346829,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784630,UNDER ARMOUR,,Mirror/Academy,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPT_Jet_Gray_Md_Heather_Black,,,1344399,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784533,UNDER ARMOUR,,Jet Gray Md Heather/Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPTA_Steel_Medium_Heather_Blk,,,1348550,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784550,UNDER ARMOUR,,Steel Medium Heather/Blk,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWTHRCKBLLGRPAPT_Jet_Gray_Lh_Pitch_Gray_Lh,,,1346829,UA TRAINING TOPS,UA TRAINING,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784630,UNDER ARMOUR,,Jet Gray Lh/Pitch Gray Lh,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPT_Apex_Pink_Md_Hth_O_White,,,1344399,UA FLEECE TOPS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784533,UNDER ARMOUR,,Apex Pink Md Hth/O White,,,,,
https://dks.scene7.com/is/image/dkscdn/19UARWRVLFLCGRPHCAPB_Steel_Med_Heather_Black,,,1348549,UA FLEECE BOTTOMS,UA FLEECE,UNDER ARMOUR,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19784560,UNDER ARMOUR,,Steel Med Heather/Black,,,,,
